年份,中国GDP年度增长率
1961年,-27.27%
1962年,-5.58%
1963年,10.30%
1964年,18.18%
1965年,16.95%
1966年,10.65%
1967年,-5.77%
1968年,-4.10%
1969年,16.94%
1970年,19.30%
1971年,7.06%
1972年,3.81%
1973年,7.76%
1974年,2.31%
1975年,8.72%
1976年,-1.57%
1977年,7.57%
1978年,11.67%
1979年,7.60%
1980年,7.81%
1981年,5.17%
1982年,8.93%
1983年,10.84%
1984年,15.14%
1985年,13.44%
1986年,8.94%
1987年,11.69%
1988年,11.23%
1989年,4.19%
1990年,3.91%
1991年,9.29%
1992年,14.22%
1993年,13.87%
1994年,13.05%
1995年,10.95%
1996年,9.93%
1997年,9.23%
1998年,7.84%
1999年,7.67%
2000年,8.49%
2001年,8.34%
2002年,9.13%
2003年,10.04%
2004年,10.11%
2005年,11.40%
2006年,12.72%
2007年,14.23%
2008年,9.65%
2009年,9.40%
2010年,10.64%
2011年,9.54%
2012年,7.86%
2013年,7.76%
2014年,7.30%
2015年,6.90%
2016年,6.70%
2017年,6.90%